date_recorded,lon,lat,easting,northing,enquiry_category,division,client_office,grid_cell,grid_x,grid_y,year,month,dayofweek,hour,is_weekend,is_winter_spring,days_since_apr2016,repeat_within_14d_200m,source_file
2016-04-01 00:03:00,-6.288329490182142,54.86228780261534,309958.296912844,402959.164145257,Public Enquiry,NORTHERN DIVISION,MID & EAST ANTRIM,1549_2014,1549,2014,2016,4,4,0,0,1,0.0020833333333333333,1,pothole_enquiries_2016.csv
2016-04-01 00:07:00,-6.288300715653356,54.862298132466485,309960.116297665,402960.359100665,Public Enquiry,NORTHERN DIVISION,MID & EAST ANTRIM,1549_2014,1549,2014,2016,4,4,0,0,1,0.004861111111111111,0,pothole_enquiries_2016.csv
2016-04-01 08:31:00,-6.4298782489761015,54.434527437459465,301934.656562477,355133.405038647,Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",1509_1775,1509,1775,2016,4,4,8,0,1,0.3548611111111111,0,pothole_enquiries_2016.csv
2016-04-01 08:34:00,-6.405657903563116,54.435432262658956,303503.919269697,355269.434757268,Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",1517_1776,1517,1776,2016,4,4,8,0,1,0.35694444444444445,0,pothole_enquiries_2016.csv
2016-04-01 09:27:00,-6.747423086710302,55.03825928377282,280130.03180897,421924.00395273,Call Centre Public Enquiry,NORTHERN DIVISION,CAUSEWAY COAST & GLENS (WEST),1400_2109,1400,2109,2016,4,4,9,0,1,0.39375,0,pothole_enquiries_2016.csv
2016-04-01 09:38:00,-6.882896524022898,54.64793579304802,272162.033969246,378327.336902543,Call Centre Public Enquiry,WESTERN DIVISION,MID ULSTER (NORTH),1360_1891,1360,1891,2016,4,4,9,0,1,0.4013888888888889,0,pothole_enquiries_2016.csv
2016-04-01 10:46:00,-5.976966216344289,54.55968046188051,330920.281004499,369812.340729453,Call Centre Public Enquiry,EASTERN DIVISION,BELFAST SOUTH,1654_1849,1654,1849,2016,4,4,10,0,1,0.4486111111111111,0,pothole_enquiries_2016.csv
2016-04-01 11:10:00,-6.419782159008218,55.10833938146523,300899.224587064,430149.466377472,Call Centre Public Enquiry,NORTHERN DIVISION,CAUSEWAY COAST & GLENS (EAST),1504_2150,1504,2150,2016,4,4,11,0,1,0.4652777777777778,0,pothole_enquiries_2016.csv
2016-04-01 11:12:00,-6.51928462400214,55.063888955013816,294654.285875435,425062.220427478,Call Centre Public Enquiry,NORTHERN DIVISION,CAUSEWAY COAST & GLENS (EAST),1473_2125,1473,2125,2016,4,4,11,0,1,0.4666666666666667,0,pothole_enquiries_2016.csv
2016-04-01 11:48:00,-6.318770672448006,54.160678396622174,309870.486762334,324820.695228716,Call Centre Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (WEST),1549_1624,1549,1624,2016,4,4,11,0,1,0.49166666666666664,0,pothole_enquiries_2016.csv
2016-04-01 11:50:00,-6.3545197950353325,54.225784914704526,307366.616647022,332011.944769333,Call Centre Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (WEST),1536_1660,1536,1660,2016,4,4,11,0,1,0.4930555555555556,0,pothole_enquiries_2016.csv
