"ENQUIRY_TYPE","ENQUIRY_CATEGORY","DATE_RECORDED","DIVISION","CLIENT_OFFICE_NAME","EASTING","NORTHING","APPROVAL_STATUS_NAME"
"Pothole","Public Enquiry",01/04/2016 00:03:00,"NORTHERN DIVISION","MID & EAST ANTRIM",309958.296912844,402959.164145257,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2016 00:07:00,"NORTHERN DIVISION","MID & EAST ANTRIM",309960.116297665,402960.359100665,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2016 08:31:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",301934.656562477,355133.405038647,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2016 08:34:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",303503.919269697,355269.434757268,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 09:27:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (WEST)",280130.03180897,421924.00395273,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 09:38:00,"WESTERN DIVISION","MID ULSTER (NORTH)",272162.033969246,378327.336902543,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 10:46:00,"EASTERN DIVISION","BELFAST SOUTH",330920.281004499,369812.340729453,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 11:10:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",300899.224587064,430149.466377472,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 11:12:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",294654.285875435,425062.220427478,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 11:48:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",309870.486762334,324820.695228716,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 11:50:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",307366.616647022,332011.944769333,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 11:52:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",330458.645285991,390406.721696163,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 11:53:00,"WESTERN DIVISION","FERMANAGH & OMAGH (WEST)",236591.734429377,333744.638355243,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 11:58:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",227810.660888577,355871.54815145,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 12:41:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",325940.592554515,340954.071952731,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 12:43:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",262328.838343383,379374.547019292,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 12:44:00,"NORTHERN DIVISION","MID & EAST ANTRIM",337940.802999845,384932.514552365,"New Enquiries"
"Pothole","Public Enquiry",01/04/2016 14:33:08,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",313510.01738383,388831.17095295,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 14:56:00,"WESTERN DIVISION","FERMANAGH & OMAGH (WEST)",234252.403180904,350760.64743308,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 14:58:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",309127.608256818,327394.115443452,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2016 15:00:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",334649.223010623,384188.070068328,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 15:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",285603.04308277,329519.939683139,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 15:01:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",285123.766824867,332673.385135924,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 15:15:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",332534.99600041,383847.38217278,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 15:22:00,"WESTERN DIVISION","LONDONDERRY & STRABANE",257735.174243289,409742.018328217,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 15:42:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",304665.842229645,434718.805055827,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 16:31:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",292260.361827768,347764.804881311,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 16:33:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",292256.82382816,347758.644144874,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 16:33:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",292259.904639306,347770.189220894,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",01/04/2016 16:41:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",306755.731866465,388686.428140989,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2016 20:36:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",337628.105037072,355007.509592062,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2016 21:05:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",330373.908601111,319801.196845568,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2016 07:29:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",325761.259866493,385718.083091798,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2016 13:50:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",311623.95388371,348697.696936889,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2016 15:10:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",317743.143292686,355436.084153879,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2016 10:03:00,"NORTHERN DIVISION","MID & EAST ANTRIM",308346.21915046,402494.768950551,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2016 13:54:00,"NORTHERN DIVISION","MID & EAST ANTRIM",305587.485076683,406119.133474577,"Completed Enquiries"
