scenario,threshold,n,actual_positives,flagged_n,flagged_rate,tp,fp,fn,precision,recall,f1,incremental_fast_repair_cost,avoided_repeat_cost,effectiveness,gross_benefit,intervention_cost,net_value,net_value_per_flagged,break_even_avoided_cost,break_even_avoided_cost_multiple
direct_repeat_only_low_increment,0.2,49360,28081,47540,0.963128038897893,27701,19839,380,0.5826882625157762,0.9864677183860974,0.7326271802806098,30.86,87.8,0.5,1216073.9,1467084.4,-251010.5,-5.279985275557426,105.92284755062994,3.4323670625609184
direct_repeat_only_high_effect,0.2,49360,28081,47540,0.963128038897893,27701,19839,380,0.5826882625157762,0.9864677183860974,0.7326271802806098,30.86,87.8,0.75,1824110.8499999999,1467084.4,357026.44999999995,7.510022086663861,70.61523170041995,2.2882447083739454
ops_admin_low_claim,0.2,49360,28081,47540,0.963128038897893,27701,19839,380,0.5826882625157762,0.9864677183860974,0.7326271802806098,75.0,155.3,0.6,2581179.18,3565500.0,-984320.8199999998,-20.705107698779972,214.5229414100574,2.860305885467432
moderate_deterioration,0.2,49360,28081,47540,0.963128038897893,27701,19839,380,0.5826882625157762,0.9864677183860974,0.7326271802806098,125.0,272.8,0.6,4534099.68,5942500.0,-1408400.3200000003,-29.62558519141776,357.53823568342904,2.860305885467432
large_patch_premium,0.2,49360,28081,47540,0.963128038897893,27701,19839,380,0.5826882625157762,0.9864677183860974,0.7326271802806098,300.0,579.8,0.6,9636623.879999999,14262000.0,-4625376.120000001,-97.2944072360118,858.0917656402296,2.860305885467432
medium_patch_full_cost_not_incremental,0.2,49360,28081,47540,0.963128038897893,27701,19839,380,0.5826882625157762,0.9864677183860974,0.7326271802806098,1328.0,579.8,0.6,9636623.879999999,63133120.0,-53496496.120000005,-1125.294407236012,3798.48621590075,2.860305885467432
direct_repeat_only_low_increment,0.225,49360,28081,46096,0.9338735818476499,27284,18812,797,0.5918951752863589,0.9716178198782095,0.7356458201329255,30.86,87.8,0.5,1197767.5999999999,1422522.56,-224754.9600000002,-4.875801804928848,104.27522064213457,3.3789766896349507
direct_repeat_only_high_effect,0.225,49360,28081,46096,0.9338735818476499,27284,18812,797,0.5918951752863589,0.9716178198782095,0.7356458201329255,30.86,87.8,0.75,1796651.4,1422522.56,374128.83999999985,8.116297292606731,69.51681376142305,2.2526511264233005
ops_admin_low_claim,0.225,49360,28081,46096,0.9338735818476499,27284,18812,797,0.5918951752863589,0.9716178198782095,0.7356458201329255,75.0,155.3,0.6,2542323.12,3457200.0,-914876.8799999999,-19.847207566817076,211.1860431021844,2.8158139080291256
moderate_deterioration,0.225,49360,28081,46096,0.9338735818476499,27284,18812,797,0.5918951752863589,0.9716178198782095,0.7356458201329255,125.0,272.8,0.6,4465845.12,5762000.0,-1296154.88,-28.11859770912877,351.9767385036407,2.8158139080291256
